Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2000,16.4
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2001,17.3
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2002,17.8
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2003,18.5
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2004,18.9
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2005,19.5
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2006,19.9
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2007,20.2
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2008,20.5
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2009,21.1
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2010,22.0
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2011,22.7
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2012,23.4
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2013,24.2
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2014,25.4
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2015,26.3
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2016,27.4
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2017,28.6
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2018,30.0
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2019,31.0
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2020,32.1
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2021,33.2
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2022,34.2
Sri Lanka,LKA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,2023,35.4
